ID,Date,Duration,Language,Length,Transcription
SA_001,2025-10-12,45,FR,medium,Le client (Art Collector) recherche une Malle sur mesure. Prêt à acheter.
SA_002,2025-05-14,12,EN,short,VIP Client interested in Limited Edition Watch. Wire transfer pending.
SA_003,2025-12-01,78,KO,long,고객(Real Estate Mogul)이 희귀 빈티지 샴페인을 찾고 있음. 가격 협의 완료.
SA_004,2025-03-24,33,IT,medium,CEO interessato a Alta Gioielleria. Richiesta visione privata.
SA_005,2025-08-09,15,ZH,short,客户（VC）正在寻找限量版手表。已经发送发票.
SA_006,2025-01-20,56,JA,long,Philanthropistは特注のトランクに興味を持っています。銀行振込待ち.
SA_007,2025-11-11,22,ES,medium,Art Collector solicitó una vista privada para Alta Joyería.
SA_008,2025-04-18,41,DE,medium,Tech Founder interessiert an Maßgefertigter Koffer. Benötigt individuelles Monogramm.
SA_009,2025-07-22,19,RU,short,Клиент (Real Estate Mogul) ищет Ювелирные изделия. Готов к покупке.
SA_010,2025-02-15,88,AR,long,العميل (CEO) يبحث عن ساعة إصدار محدود. تم تحويل المبلغ.
SA_011,2025-09-30,12,FR,short,Boutique Paris. Client prêt pour Haute Couture. Paiement par virement.
SA_012,2025-06-05,45,EN,medium,Client (Philanthropist) looking for Exotic Skin Handbag. Follow-up after gala.
SA_013,2025-03-12,28,IT,medium,Interesse per borsa in coccodrillo. Cliente VIP dal Qatar.
SA_014,2025-10-25,62,NL,long,Klant geïnteresseerd in Limited Watch. Factuur verzonden.
SA_015,2025-12-14,18,PT,short,Cliente (Tech Founder) busca Alta Joalharia. Pronto para fechar.
SA_016,2025-08-22,55,ZH,medium,VIP客户对酒庄 investment 感兴趣。正在审查合同.
SA_017,2025-05-30,11,JA,short,銀座店。希少なウォッチの試着を希望.
SA_018,2025-01-14,70,ES,long,Cliente busca Baúl a medida para colección privada. Alta prioridad.
SA_019,2025-11-03,34,DE,medium,Sammler sucht seltene Flaschen Champagne. Direkter Kauf.
SA_020,2025-04-20,25,KO,medium,고객이 한정판 시계 구매 희망. 계좌 번호 안내함.
SA_021,2025-06-18,42,FR,medium,Demande de personnalisation pour Malle cabine. Monogramme or.
SA_022,2025-09-12,16,EN,short,Ultra High Net Worth client. Ready to buy entire jewelry set.
SA_023,2025-10-09,83,IT,long,Trattativa per acquisto orologio pezzo unico. Valore stimato 400k.
SA_024,2025-03-05,22,AR,medium,طلب شراء حقيبة جلد نادرة. العميل في انتظار التأكيد.
SA_025,2025-12-28,19,ZH,short,客户要求对高级定制进行私人展示.
SA_026,2025-07-15,50,RU,medium,Запрос на изготовление уникального чемодана. Детали согласованы.
SA_027,2025-04-02,38,JA,medium,オートクチュールのドレスの採寸を予約。特別な機会用.
SA_028,2025-11-25,61,PT,long,Investidor interessado em ativos raros. Reunião marcada para amanhã.
SA_029,2025-02-10,14,IT,short,Cliente cerca borsa in edizione speciale. Pronto al bonifico.
SA_030,2025-08-27,47,NL,medium,Interesse in zeldzame cognac. Klant verwacht levering in Dubai.
SA_031,2025-01-05,12,FR,short,Vente conclue. Montre en platine. Livraison hôtel Ritz.
SA_032,2025-10-22,56,EN,long,Client requesting private vault viewing for high jewelry.
SA_033,2025-05-11,33,KO,medium,고객이 비스포크 트렁크 주문. 송금 확인 중.
SA_034,2025-12-05,18,ES,short,Venta de Champaña añejo para evento corporativo.
SA_035,2025-07-28,72,ZH,long,艺术收藏家寻求购买全套定制行李箱.
SA_036,2025-03-31,29,JA,medium,希少な宝石のプライベートオークションへの参加を希望.
SA_037,2025-11-17,44,PT,medium,Cliente solicitou envio de catálogo de Alta Moda para o Brasil.
SA_038,2025-04-09,16,DE,short,Kaufbestätigung for limitierte Handtasche.
SA_039,2025-09-08,80,RU,long,Переговоры о покупке эксклюзивного набора украшений. Высокий приоритет.
SA_040,2025-02-24,31,AR,medium,العميل مهتم بشراء صندوق مجوهرات فاخر. بانتظار العقد.
SA_041,2025-10-18,21,IT,short,Vendita chiusa. Orologio in oro rosa.
SA_042,2025-06-12,63,FR,long,Le client souhaite privatiser le salon pour une séance d'essayage.
SA_043,2025-01-28,14,EN,short,Ready to purchase bespoke alligator shoes. Payment pending.
SA_044,2025-11-22,49,KO,medium,고객이 전용 라운지에서 주얼리 감상 요청.
SA_045,2025-04-15,37,NL,medium,Factuur voor luxe koffer betaald. Verzending naar Londen.
SA_046,2025-12-10,15,ES,short,Cliente VIP. Compra de múltiples bolsos de seda.
SA_047,2025-08-03,85,ZH,long,客户正在讨论为他的游艇定制的全套内饰.
SA_048,2025-03-20,22,JA,short,限定シャンパン。まとめ買いの相談.
SA_049,2025-09-25,58,PT,medium,Cliente em busca de diamantes certificados. Requer certificação GIA.
SA_050,2025-02-05,13,RU,short,Интерес к новой коллекции аксессуаров. Срочный заказ.
SA_0051,2025-12-16,72,KO,long,고객(VIP Client)이 한정판 시계를 찾고 있음. 경쟁사와 비교 중.
SA_0052,2025-04-10,16,IT,short,CEO interessato a Alta Moda. Confronto con la concorrenza.
SA_0053,2025-01-21,43,ES,medium,Cliente (Art Collector) busca Alta Costura. Seguimiento tras la gala.
SA_0054,2025-05-17,30,KO,short,고객(VIP Client)이 한정판 시계를 찾고 있음. 프라이빗 뷰잉 요청.
SA_0055,2025-12-19,62,IT,long,Cliente (Art Collector) cerca Champagne d'annata raro. Pronto all'acquisto.
SA_0056,2025-10-15,83,IT,long,Real Estate Mogul interessato a Borsa in pelle esotica. Necessita di monogramma personalizzato.
SA_0057,2025-11-11,24,AR,short,Real Estate Mogul طلب عرضًا خاصًا لـ مجوهرات فاخرة. هدية مؤسسية.
SA_0058,2025-03-18,87,NL,long,CEO geïnteresseerd in Gelimiteerd horloge. Heeft aangepast monogram nodig.
SA_0059,2025-09-08,16,IT,short,Cliente (Tech Founder) cerca Champagne d'annata raro. Bonifico in sospeso.
SA_0060,2025-06-29,64,FR,long,Art Collector intéressé par Haute Joaillerie. Suivi après le gala.
SA_0061,2025-11-13,40,RU,medium,Tech Founder интересуется Багаж на заказ. Готов к покупке.
SA_0062,2025-05-22,23,ZH,short,VIP Client对定制行李箱感兴趣。电汇待定。
SA_0063,2025-04-13,66,JA,long,クライアント（VIP Client）が限定版ウォッチを探しています。購入の準備ができています。
SA_0064,2025-05-10,48,AR,medium,العميل (Tech Founder) يبحث عن مجوهرات فاخرة. مقارنة مع المنافسين.
SA_0065,2025-11-24,44,AR,medium,VC مهتم بـ حقيبة جلد غريب. متابعة بعد الحفل.
SA_0066,2025-06-05,76,ES,long,Cliente (Philanthropist) busca Reloj de edición limitada. Solicitó vista privada.
SA_0067,2025-05-07,61,JA,long,VCは特注의 トランクに興味を持っています。プライベートビューイングを依頼。
SA_0068,2025-08-07,56,PT,medium,Cliente (VIP Client) procura Champanhe vintage raro. Transferência pendente.
SA_0069,2025-03-05,16,EN,short,Client (Real Estate Mogul) looking at Fine Jewelry. Wire transfer pending.
SA_0070,2025-06-06,88,KO,long,고객(Art Collector)이 한정판 시계를 찾고 있음. 갈라 행사 후 후속 조치.
SA_0071,2025-09-19,33,JA,medium,Philanthropistは特注のトランクのプライベートビューイングを依頼しました。カスタムモノグラムが必要.
SA_0072,2025-06-03,30,ZH,short,客户（Philanthropist）正在寻找高级珠宝。正在与竞争对手比较。
SA_0073,2025-03-12,23,FR,short,Art Collector intéressé par Haute Couture. Cadeau d'entreprise.
SA_0074,2025-08-07,55,IT,medium,Cliente (VC) cerca Alta Gioielleria. Pronto all'acquisto.
SA_0075,2025-04-24,19,AR,short,Tech Founder طلب عرضًا خاصًا لـ شامبانيا معتقة نادرة. متابعة بعد الحفل.
SA_0076,2025-04-17,10,ES,short,Art Collector solicitó una vista privada para Alta Joyería. Seguimiento tras la gala.
SA_0077,2025-02-26,77,EN,long,CEO requested viewing for Bespoke Trunk. Value approx $367k. Follow-up after gala.
SA_0078,2025-12-03,84,NL,long,VC heeft een privébezichtiging aangevraagd voor Haute Couture. Follow-up na gala.
SA_0079,2025-10-12,54,EN,medium,Real Estate Mogul interested in Exotic Skin Handbag. Ready to buy.
SA_0080,2025-02-24,16,ES,short,Cliente (Art Collector) busca Alta Joyería. Comparando with competidores.
SA_0081,2025-04-18,59,FR,medium,Le client (Philanthropist) recherche Haute Couture. Besoin d'un monogramme personnalisé.
SA_0082,2025-04-27,58,DE,medium,Philanthropist bat um eine private Besichtigung für Maßgefertigter Koffer. Private Besichtigung angefordert.
SA_0083,2025-12-01,85,AR,long,العميل (Real Estate Mogul) يبحث عن ساعة إصدار محدود. متابعة بعد الحفل.
SA_0084,2025-03-16,37,IT,medium,Philanthropist interessato a Borsa in pelle esotica. Regalo aziendale.
SA_0085,2025-05-29,14,DE,short,CEO interessato an Feiner Schmuck. Nachbereitung nach der Gala.
SA_0086,2026-01-09,32,IT,medium,Philanthropist interessato a Champagne d'annata raro. Necessita di monogramma personalizzato.
SA_0087,2025-09-02,31,DE,medium,Philanthropist interessiert an Feiner Schmuck. Private Besichtigung angefordert.
SA_0088,2025-08-07,79,EN,long,CEO interested in Limited Edition Watch. Needs custom monogram.
SA_0089,2025-10-04,32,FR,medium,Tech Founder intéressé par Montre édition limitée. Prêt à acheter.
SA_0090,2025-05-17,13,NL,short,Real Estate Mogul heeft een privébezichtiging aangevraagd voor Exotische handtas. Zakelijk cadeau.
SA_0091,2025-03-25,15,IT,short,CEO ha richiesto una visione privata per Alta Moda. Pronto all'acquisto.
SA_0092,2025-01-15,80,JA,long,クライアント（VIP Client）が希少なヴィンテージシャンパンを探しています。銀行振込待ち。
SA_0093,2025-12-14,83,ES,long,VIP Client interesado en Champaña vintage rara. Necesita monogramma personalizado.
SA_0094,2025-06-20,66,EN,long,CEO interested in Exotic Skin Handbag. Follow-up after gala.
